1,Any_S,783436,1513
2,Any_M,465264,4662
3,Any_L,409280,10223
4,All_S,342172,3724
5,All_M,312628,6386
6,All_L,403144,7920
7,Race_S,273789,4292
8,Race_M,432920,12839
9,Race_L,458629,21468
